Column1,name,Random Forest,Logistic Regression,SVM,NN,Random Forest std,Logistic Regression std,SVM std,NN std,min std=rf,max,2 feat max
24,"GCC, spectral radius",89.18%,55.54%,89.16%,77.29%,0.004467329,0.025268944,0.008125961,0.06084509,0.8918125,0.8918125,0.8918125
13,"GCC, SCC",85.38%,55.42%,65.76%,67.42%,0.006321157,0.034476045,0.040917982,0.142290979,0.8538125,0.8538125,0.8538125
17,"GCC, den",82.13%,53.66%,81.39%,72.30%,0.009879943,0.018241436,0.00824929,0.120047452,0,0.8213125,0.8213125
14,"GCC, APL",81.79%,50.81%,61.58%,64.46%,0.009474678,0.030842911,0.026762555,0.136540988,0.8179375,0.8179375,0.8179375
23,"GCC, effective graph resistence",81.76%,55.98%,81.49%,79.74%,0.008332917,0.019937794,0.007743193,0.021553803,0,0.817625,0.817625
15,"GCC, r",78.19%,72.74%,79.63%,81.33%,0.005354612,0.013648632,0.018141049,0.00829533,0.781875,0.81325,0.781875
20,"GCC, closeness centralization",76.98%,62.03%,74.04%,74.59%,0.00819227,0.015161243,0.01014042,0.01280335,0.7698125,0.7698125,0.7698125
22,"GCC, eigenvector centralization",75.47%,56.89%,75.97%,71.29%,0.010757447,0.013340639,0.009173884,0.023048946,0,0.7596875,0.7546875
19,"GCC, degree centralization",75.01%,61.60%,73.54%,74.56%,0.012571048,0.018547237,0.011401926,0.011317333,0,0.750125,0.750125
18,"GCC, edge connectivity",73.53%,63.53%,76.83%,75.77%,0.012238675,0.015039661,0.005367728,0.016012812,0,0.76825,0.7353125
21,"GCC, betweeness centralization",71.34%,51.04%,62.38%,69.58%,0.012142384,0.025528859,0.020950089,0.018956776,0.713375,0.713375,0.713375
26,"SCC, r",70.13%,59.54%,70.15%,71.47%,0.011124298,0.01700425,0.011816302,0.013897645,0.70125,0.7146875,0.70125
35,"SCC, spectral radius",64.87%,35.76%,39.23%,60.99%,0.01281311,0.012030073,0.020894172,0.049132156,0,0.6486875,0.6486875
16,"GCC, diam",62.79%,49.95%,60.84%,65.63%,0.009462302,0.022506596,0.028227937,0.101451747,0.6279375,0.6563125,0.6279375
0,GCC,62.63%,50.44%,68.58%,64.40%,0.006714025,0.030646676,0.010584666,0.038529818,0.62625,0.6858125,0.62625
25,"SCC, APL",61.90%,26.31%,54.24%,49.14%,0.007284401,0.04699439,0.013313527,0.131570457,0.619,0.619,0.619
34,"SCC, effective graph resistence",61.89%,38.44%,46.27%,45.95%,0.013843574,0.012180286,0.006818232,0.074163986,0,0.6189375,0.6189375
28,"SCC, den",61.67%,28.86%,37.42%,54.55%,0.005316543,0.023853066,0.012193268,0.111512962,0.61675,0.61675,0.61675
52,"r, eigenvector centralization",61.61%,58.67%,66.09%,63.81%,0.010224244,0.021440415,0.011302655,0.016147392,0.6160625,0.660875,0.6160625
48,"r, edge connectivity",61.36%,63.77%,68.46%,68.88%,0.010683844,0.011713374,0.01251936,0.00485734,0,0.68875,0.6135625
31,"SCC, closeness centralization",61.31%,46.40%,56.65%,55.10%,0.009750801,0.012019515,0.009040707,0.023969707,0,0.613125,0.613125
